code,company,actual,minimum,maximum,min,max
532929,BRIGADE ENTERPRISES LTD,-0.0127235644154728,-0.0111230740257018,-0.0212507577184652,-0.0016004903897709997,-0.0085271933029924
500266,MAHARASHTRA SCOOTERS LTD,-0.0169701062898451,-0.0158509698571757,-0.0265921311748289,-0.0011191364326694,-0.009622024884983798
505509,RESPONSIVE INDUSTRIES LTD,-0.053043139326947,-0.053043139326947,-0.0642802539912372,0.0,-0.011237114664290199
500850,INDIAN HOTELS CO LTD,-0.0285766519234716,-0.0285766519234716,-0.040325806664764,0.0,-0.0117491547412924
508989,NAVNEET EDUCATION LTD,-0.0299657010497758,-0.0299657010497758,-0.0418474062900982,0.0,-0.0118817052403224
533023,WABCO INDIA LTD,-0.0477472777723077,-0.0477472777723077,-0.0609263941514681,0.0,-0.013179116379160395
500164,GODREJ INDUSTRIES LTD,-0.0301644387821319,-0.0281344840862525,-0.0436002707475516,-0.0020299546958793997,-0.013435831965419701
532636,IIFL FINANCE LTD,-0.0267099097315772,-0.0257584721744196,-0.0404738078705014,-0.0009514375571575973,-0.013763898138924202
500049,BHARAT ELECTRONICS LTD,-0.0329460646823357,-0.0329460646823357,-0.0470923629449388,0.0,-0.0141462982626031
500165,KANSAI NEROLAC PAINTS LTD,-0.0315890653355997,-0.0286034171782689,-0.0477427182939253,-0.0029856481573308016,-0.016153652958325597
523385,NILKAMAL LTD,-0.0612930523967722,-0.0612930523967722,-0.0776877794528973,0.0,-0.016394727056125102
532819,MINDTREE LTD,-0.0508640087116727,-0.0508640087116727,-0.0677983203806683,0.0,-0.016934311668995596
532772,DCB BANK LTD,-0.0396873797706765,-0.0396873797706765,-0.0568353471938178,0.0,-0.017147967423141307
532443,CERA SANITARYWARE LTD,-0.0433547447625076,-0.0375490685076124,-0.0617387368006006,-0.005805676254895198,-0.018383992038093003
500480,CUMMINS INDIA LTD,-0.0457111677399579,-0.0457111677399579,-0.0641492117743571,0.0,-0.018438044034399206
500249,KSB LTD,-0.048975790798176,-0.0478531130641965,-0.0683195714638107,-0.0011226777339795047,-0.01934378066563469
505533,WESTLIFE DEVELOPMENT LTD,-0.0428953937012803,-0.0428953937012803,-0.0631760457949669,0.0,-0.020280652093686596
500300,GRASIM INDUSTRIES LTD,-0.0441014818073016,-0.0441014818073016,-0.0664483665583159,0.0,-0.022346884751014304
500425,AMBUJA CEMENTS LTD,-0.0702776500051177,-0.0702776500051177,-0.0940986667077655,0.0,-0.0238210167026478
505537,ZEE ENTERTAINMENT ENTERPRISES LTD,-0.0773282965480745,-0.0773282965480745,-0.1045821226256077,0.0,-0.02725382607753321
532705,JAGRAN PRAKASHAN LTD,-0.083291195308986,-0.083291195308986,-0.1106105741954942,0.0,-0.02731937888650819
532659,IDFC LTD,-0.0650578945394681,-0.0436940196049408,-0.094898164125529,-0.0213638749345273,-0.029840269586060897
533206,SJVN LTD,-0.0842412962471138,-0.0842412962471138,-0.1145696483406217,0.0,-0.0303283520935079
500144,FINOLEX CABLES LTD,-0.0667418612207477,-0.0667418612207477,-0.0976316702147702,0.0,-0.030889808994022508
531768,POLY MEDICURE LTD,-0.0320542800356988,-0.0317000695054539,-0.0634541380658888,-0.0003542105302449042,-0.03139985803019
500493,BHARAT FORGE LTD,-0.0357232005415925,-0.0357232005415925,-0.0672762191319858,0.0,-0.0315530185903933
500285,SPICEJET LTD,-0.0468347204200086,-0.0270797639400271,-0.0789545944031431,-0.0197549564799815,-0.032119873983134505
532296,GLENMARK PHARMACEUTICALS LTD,-0.1014637075962168,-0.0979068138501139,-0.1345451675595659,-0.003556893746102893,-0.03308145996334909
532885,CENTRAL BANK OF INDIA,-0.04215486782484,-0.04215486782484,-0.0771645797197822,0.0,-0.0350097118949422
500125,EIDPARRY INDIA LTD,-0.100497147001702,-0.100497147001702,-0.1361311319099797,0.0,-0.0356339849082777
532638,SHOPPERS STOP LTD,-0.0534737987521558,-0.0534737987521558,-0.0901518824794284,0.0,-0.0366780837272726
500183,HFCL LTD,-0.0460317149967632,-0.0460317149967632,-0.0850339940752938,0.0,-0.0390022790785306
533655,TRIVENI TURBINE LTD,-0.0571118105208666,-0.0571118105208666,-0.0966366808846607,0.0,-0.039524870363794096
532622,GATEWAY DISTRIPARKS LTD,-0.090780016674204,-0.090780016674204,-0.1329513426706048,0.0,-0.04217132599640079
500338,PRISM JOHNSON LTD,-0.0808247139992341,-0.0795897771762916,-0.1237962871570135,-0.0012349368229424978,-0.0429715731577794
532539,MINDA INDUSTRIES LTD,-0.0292467705953647,-0.0292467705953647,-0.073257387976091,0.0,-0.044010617380726307
500645,DEEPAK FERTILISERS  PETROCHEMICALS CORPN LTD,-0.0447583263466714,-0.0412891366765344,-0.0919988899397595,-0.003469189670136999,-0.047240563593088106
540203,SHEELA FOAM LTD,-0.080136364665433,-0.080136364665433,-0.1284609157841202,0.0,-0.04832455111868719
534816,INDUS TOWERS LTD,-0.0719009190531597,-0.0719009190531597,-0.1244047669327,0.0,-0.052503847879540294
500800,TATA CONSUMER PRODUCTS LTD,-0.1428778143428783,-0.1428778143428783,-0.1963062354154019,0.0,-0.0534284210725236
500302,PIRAMAL ENTERPRISES LTD,-0.1041496196936681,-0.1041496196936681,-0.1600427969305176,0.0,-0.0558931772368495
500171,GHCL LTD,-0.1060498334614396,-0.1060498334614396,-0.1631472206066286,0.0,-0.057097387145188985
539658,TEAMLEASE SERVICES LTD,-0.1148208679477578,-0.0827554862113545,-0.1744784952349994,-0.03206538173640329,-0.059657627287241596
524816,NATCO PHARMA LTD,-0.0758991420789394,-0.0758991420789394,-0.1355619563341042,0.0,-0.0596628142551648
500133,ESAB INDIA LTD,-0.1671856513683489,-0.1671856513683489,-0.2379267335216378,0.0,-0.07074108215328889
541143,BHARAT DYNAMICS LTD,-0.2417839200952039,-0.2417839200952039,-0.3211217232910542,0.0,-0.07933780319585029
500113,STEEL AUTHORITY OF INDIA LTD,-0.2388463837303767,-0.2388463837303767,-0.3297700320042613,0.0,-0.0909236482738846
500403,SUNDRAM FASTENERS LTD,-0.1852320856768413,-0.1852320856768413,-0.2799892777038085,0.0,-0.0947571920269672
500483,TATA COMMUNICATIONS LTD,-0.0309647608524642,-0.0309647608524642,-0.1271292885552178,0.0,-0.09616452770275359
504973,CHOLAMANDALAM FINANCIAL HOLDINGS LTD,-0.1456077487909822,-0.1456077487909822,-0.2555443907839823,0.0,-0.10993664199300007
539150,PNC INFRATECH LTD,-0.1600015741514576,-0.0570116221718646,-0.2764484192269235,-0.10298995197959301,-0.11644684507546588
511196,CAN FIN HOMES LTD,-0.1939538942930795,-0.1939538942930795,-0.3140266752894802,0.0,-0.1200727809964007
539874,UJJIVAN FINANCIAL SERVICES LTD,-0.2160702920216707,-0.2160702920216707,-0.3548210723020826,0.0,-0.1387507802804119
500490,BAJAJ HOLDINGS  INVESTMENT LTD,-0.28865837696805,-0.2577139812614135,-0.4320330061908543,-0.03094439570663654,-0.14337462922280425
532477,UNION BANK OF INDIA,-0.1458844839089392,-0.1458844839089392,-0.2968378518725064,0.0,-0.15095336796356718
532508,JINDAL STAINLESS LTD,-0.1850698609844877,-0.1850698609844877,-0.3370835161245252,0.0,-0.1520136551400375
539978,QUESS CORP LTD,-0.2367303468353824,-0.2134028896980715,-0.3896964194613995,-0.02332745713731091,-0.15296607262601708
532548,CENTURY PLYBOARDS INDIA LTD,-0.2726340653587462,-0.2726340653587462,-0.4401333145978852,0.0,-0.167499249239139
500103,BHARAT HEAVY ELECTRICALS LTD,-0.2473725560260753,-0.2473725560260753,-0.4164343754658216,0.0,-0.16906181943974632
524742,CAPLIN POINT LABORATORIES LTD,-0.1382550951822823,-0.1382550951822823,-0.31626678876645,0.0,-0.17801169358416769
532822,VODAFONE IDEA LTD,-0.2080972858625384,-0.2080972858625384,-0.4001586680030425,0.0,-0.1920613821405041
532856,TIME TECHNOPLAST LTD,-0.1724268745408327,-0.1724268745408327,-0.3720615217203725,0.0,-0.1996346471795398
539437,IDFC FIRST BANK LTD,-0.2623432020944661,-0.2623432020944661,-0.4817341126166315,0.0,-0.21939091052216542
500570,TATA MOTORS LTD,-0.2469581757987266,-0.2469581757987266,-0.4712962603971726,0.0,-0.224338084598446
519552,HERITAGE FOODS LTD,-0.1869702903035182,-0.1869702903035182,-0.4161496778303107,0.0,-0.2291793875267925
532839,DISH TV INDIA LTD,-0.1970541817806092,-0.1970541817806092,-0.4431911282763945,0.0,-0.2461369464957853
532652,KARNATAKA BANK LTD,-0.3577448446998297,-0.3577448446998297,-0.6793218838393843,0.0,-0.3215770391395546
533400,FUTURE CONSUMER LTD,-0.3084914855397152,-0.3084914855397152,-0.6404229933524077,0.0,-0.3319315078126925
532805,REDINGTON INDIA LTD,-0.2687052140799107,-0.2687052140799107,-0.6129940810973773,0.0,-0.3442888670174666
512529,SEQUENT SCIENTIFIC LTD,-0.2166881171700712,-0.2166881171700712,-0.5845286789666685,0.0,-0.3678405617965973
539254,ADANI TRANSMISSION LTD,-0.2868266812982003,-0.2868266812982003,-0.6780737360628202,0.0,-0.39124705476461985
540064,FUTURE RETAIL LTD,-0.5785542380566585,-0.5785542380566585,-0.9962842803732764,0.0,-0.4177300423166179
532218,SOUTH INDIAN BANK LTD,-0.3406887511104424,-0.3406887511104424,-0.7693216531943265,0.0,-0.42863290208388416
509243,TVS SRICHAKRA LTD,-0.213294679228309,-0.213294679228309,-0.7764830421614521,0.0,-0.5631883629331431
500116,IDBI BANK LTD,-0.2958575425792616,-0.2958575425792616,-0.8623290189113807,0.0,-0.566471476332119
500380,JK LAKSHMI CEMENT LTD,-0.0898059345949674,-0.0898059345949674,-0.6954784045431323,0.0,-0.6056724699481648
530813,KRBL LTD,-0.2531675660597993,-0.2531675660597993,-1.5915912830732668,0.0,-1.3384237170134674
532706,INOX LEISURE LTD,-0.1704945534923114,-0.1704945534923114,-6.403600435235444,0.0,-6.233105881743133
